name node pin wire
clk CLK_HROW_TOP_R_X60Y130/CLK_HROW_CK_BUFHCLK_L0 G13 HCLK_VBRK_X34Y130/HCLK_VBRK_CK_BUFHCLK0
din[0] INT_L_X0Y102/EE2BEG2 E15 VBRK_X9Y107/VBRK_EE2A2
din[1] INT_L_X0Y104/EE2BEG2 E16 VBRK_X9Y109/VBRK_EE2A2
din[2] INT_L_X0Y106/EE2BEG2 D15 VBRK_X9Y111/VBRK_EE2A2
din[3] INT_L_X0Y108/EE2BEG2 C15 VBRK_X9Y113/VBRK_EE2A2
din[4] INT_L_X0Y110/EE2BEG2 J17 VBRK_X9Y115/VBRK_EE2A2
din[5] INT_L_X0Y112/EE2BEG2 J18 VBRK_X9Y117/VBRK_EE2A2
din[6] INT_L_X0Y114/EE2BEG2 K15 VBRK_X9Y119/VBRK_EE2A2
din[7] INT_L_X0Y116/EE2BEG2 J15 VBRK_X9Y121/VBRK_EE2A2
dout[0] INT_L_X2Y133/SW6BEG0 U12 VBRK_X9Y139/VBRK_SW4A0
dout[1] INT_L_X2Y135/SW6BEG0 V12 VBRK_X9Y141/VBRK_SW4A0
dout[2] INT_L_X2Y137/SW6BEG0 V10 VBRK_X9Y143/VBRK_SW4A0
dout[3] INT_L_X2Y139/SW6BEG0 V11 VBRK_X9Y145/VBRK_SW4A0
dout[4] INT_L_X2Y141/SW6BEG0 U14 VBRK_X9Y147/VBRK_SW4A0
dout[5] INT_L_X2Y143/SW6BEG0 V14 VBRK_X9Y149/VBRK_SW4A0
dout[6] INT_L_X2Y145/SW6BEG0 T13 VBRK_X9Y151/VBRK_SW4A0
dout[7] INT_L_X2Y147/SW6BEG0 U13 VBRK_X9Y153/VBRK_SW4A0
