name node pin wire
clk CLK_HROW_TOP_R_X60Y130/CLK_HROW_CK_BUFHCLK_L0 E3 HCLK_VBRK_X34Y130/HCLK_VBRK_CK_BUFHCLK0
din[0] INT_L_X0Y104/EE2BEG2 A8 VBRK_X9Y109/VBRK_EE2A2
din[1] INT_L_X0Y108/EE2BEG2 C11 VBRK_X9Y113/VBRK_EE2A2
din[2] INT_L_X0Y112/EE2BEG2 C10 VBRK_X9Y117/VBRK_EE2A2
din[3] INT_L_X0Y116/EE2BEG2 A10 VBRK_X9Y121/VBRK_EE2A2
din[4] INT_L_X0Y120/EE2BEG2 C9 VBRK_X9Y125/VBRK_EE2A2
din[5] INT_L_X0Y124/EE2BEG2 B9 VBRK_X9Y129/VBRK_EE2A2
din[6] INT_L_X0Y128/EE2BEG2 B8 VBRK_X9Y134/VBRK_EE2A2
din[7] INT_L_X0Y132/EE2BEG2 D9 VBRK_X9Y138/VBRK_EE2A2
dout[0] INT_R_X23Y117/LH12 H5 VBRK_X61Y122/VBRK_LH12
dout[1] INT_R_X23Y121/LH12 J5 VBRK_X61Y126/VBRK_LH12
dout[2] INT_L_X2Y117/SW6BEG0 T9 VBRK_X9Y122/VBRK_SW4A0
dout[3] INT_L_X2Y121/SW6BEG0 T10 VBRK_X9Y126/VBRK_SW4A0
dout[4] INT_R_X23Y125/LH12 F6 VBRK_X61Y131/VBRK_LH12
dout[5] INT_R_X23Y129/LH12 J4 VBRK_X61Y135/VBRK_LH12
dout[6] INT_R_X23Y133/LH12 J2 VBRK_X61Y139/VBRK_LH12
dout[7] INT_R_X23Y137/LH12 H6 VBRK_X61Y143/VBRK_LH12
