pin,bank,site,tile,pin_function
A1,35,IOB_X1Y131,RIOB33_X57Y131,IO_L9N_T1_DQS_AD7N_35
A3,35,IOB_X1Y133,RIOB33_X57Y133,IO_L8N_T1_AD14N_35
A4,35,IOB_X1Y134,RIOB33_X57Y133,IO_L8P_T1_AD14P_35
A5,35,IOB_X1Y143,RIOB33_X57Y143,IO_L3N_T0_DQS_AD5N_35
A6,35,IOB_X1Y144,RIOB33_X57Y143,IO_L3P_T0_DQS_AD5P_35
A8,16,IOB_X0Y175,LIOB33_X0Y175,IO_L12N_T1_MRCC_16
A9,16,IOB_X0Y171,LIOB33_X0Y171,IO_L14N_T2_SRCC_16
A10,16,IOB_X0Y172,LIOB33_X0Y171,IO_L14P_T2_SRCC_16
A11,15,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_15
A13,15,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_AD3P_15
A14,15,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_AD3N_15
A15,15,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_AD10P_15
A16,15,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_AD10N_15
A18,15,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_AD11N_15
B1,35,IOB_X1Y132,RIOB33_X57Y131,IO_L9P_T1_DQS_AD7P_35
B2,35,IOB_X1Y129,RIOB33_X57Y129,IO_L10N_T1_AD15N_35
B3,35,IOB_X1Y130,RIOB33_X57Y129,IO_L10P_T1_AD15P_35
B4,35,IOB_X1Y135,RIOB33_X57Y135,IO_L7N_T1_AD6N_35
B6,35,IOB_X1Y145,RIOB33_X57Y145,IO_L2N_T0_AD12N_35
B7,35,IOB_X1Y146,RIOB33_X57Y145,IO_L2P_T0_AD12P_35
B8,16,IOB_X0Y176,LIOB33_X0Y175,IO_L12P_T1_MRCC_16
B9,16,IOB_X0Y177,LIOB33_X0Y177,IO_L11N_T1_SRCC_16
B11,15,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_15
B12,15,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_AD1N_15
