pin,bank,site,tile,pin_function
A1,35,IOB_X1Y147,RIOB33_X57Y147,IO_L1N_T0_AD4N_35
A4,216,OPAD_X0Y8,GTP_CHANNEL_0_X130Y162,MGTPTXN0_216
A6,216,OPAD_X0Y12,GTP_CHANNEL_2_X130Y191,MGTPTXN2_216
A8,216,IPAD_X1Y36,GTP_CHANNEL_0_X130Y162,MGTPRXN0_216
A10,216,IPAD_X1Y54,GTP_CHANNEL_2_X130Y191,MGTPRXN2_216
A13,16,IOB_X0Y180,LIOB33_X0Y179,IO_L10P_T1_16
A14,16,IOB_X0Y179,LIOB33_X0Y179,IO_L10N_T1_16
A15,16,IOB_X0Y182,LIOB33_X0Y181,IO_L9P_T1_DQS_16
A16,16,IOB_X0Y181,LIOB33_X0Y181,IO_L9N_T1_DQS_16
A18,16,IOB_X0Y166,LIOB33_X0Y165,IO_L17P_T2_16
A19,16,IOB_X0Y165,LIOB33_X0Y165,IO_L17N_T2_16
A20,16,IOB_X0Y167,LIOB33_X0Y167,IO_L16N_T2_16
A21,16,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_16
AA1,34,IOB_X1Y86,RIOB33_X57Y85,IO_L7P_T1_34
AA3,34,IOB_X1Y81,RIOB33_X57Y81,IO_L9N_T1_DQS_34
AA4,34,IOB_X1Y77,RIOB33_X57Y77,IO_L11N_T1_SRCC_34
AA5,34,IOB_X1Y80,RIOB33_X57Y79,IO_L10P_T1_34
AA6,34,IOB_X1Y63,RIOB33_X57Y63,IO_L18N_T2_34
AA8,34,IOB_X1Y56,RIOB33_X57Y55,IO_L22P_T3_34
AA9,13,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_13
AA10,13,IOB_X0Y32,LIOB33_X0Y31,IO_L9P_T1_DQS_13
AA11,13,IOB_X0Y31,LIOB33_X0Y31,IO_L9N_T1_DQS_13
AA13,13,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_13
AA14,13,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_13
AA15,13,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_13
AA16,13,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_13
AA18,14,IOB_X0Y66,LIOB33_X0Y65,IO_L17P_T2_A14_D30_14
AA19,14,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_RDWR_B_14
AA20,14,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_D11_14
AA21,14,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_D12_14
