pin,bank,site,tile,pin_function
A2,35,IOB_X1Y133,RIOB33_X57Y133,IO_L8N_T1_AD14N_35
A3,35,IOB_X1Y141,RIOB33_X57Y141,IO_L4N_T0_35
A4,35,IOB_X1Y143,RIOB33_X57Y143,IO_L3N_T0_DQS_AD5N_35
A5,35,IOB_X1Y144,RIOB33_X57Y143,IO_L3P_T0_DQS_AD5P_35
A7,35,IOB_X1Y147,RIOB33_X57Y147,IO_L1N_T0_AD4N_35
A8,15,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_AD8P_15
A9,15,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_AD8N_15
A10,15,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_AD1N_15
A12,15,IOB_X0Y139,LIOB33_X0Y139,IO_L5N_T0_AD9N_15
A13,15,IOB_X0Y136,LIOB33_X0Y135,IO_L7P_T1_AD2P_15
A14,15,IOB_X0Y135,LIOB33_X0Y135,IO_L7N_T1_AD2N_15
A15,15,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_AD3N_15
B1,35,IOB_X1Y131,RIOB33_X57Y131,IO_L9N_T1_DQS_AD7N_35
B2,35,IOB_X1Y134,RIOB33_X57Y133,IO_L8P_T1_AD14P_35
B4,35,IOB_X1Y142,RIOB33_X57Y141,IO_L4P_T0_35
B5,35,IOB_X1Y145,RIOB33_X57Y145,IO_L2N_T0_AD12N_35
B6,35,IOB_X1Y146,RIOB33_X57Y145,IO_L2P_T0_AD12P_35
B7,35,IOB_X1Y148,RIOB33_X57Y147,IO_L1P_T0_AD4P_35
B9,15,IOB_X0Y144,LIOB33_X0Y143,IO_L3P_T0_DQS_AD1P_15
B10,15,IOB_X0Y142,LIOB33_X0Y141,IO_L4P_T0_15
B11,15,IOB_X0Y141,LIOB33_X0Y141,IO_L4N_T0_15
B12,15,IOB_X0Y140,LIOB33_X0Y139,IO_L5P_T0_AD9P_15
B14,15,IOB_X0Y133,LIOB33_X0Y133,IO_L8N_T1_AD10N_15
B15,15,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_AD3P_15
B16,15,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_AD11N_15
C1,35,IOB_X1Y132,RIOB33_X57Y131,IO_L9P_T1_DQS_AD7P_35
C2,35,IOB_X1Y135,RIOB33_X57Y135,IO_L7N_T1_AD6N_35
C3,35,IOB_X1Y136,RIOB33_X57Y135,IO_L7P_T1_AD6P_35
C4,35,IOB_X1Y125,RIOB33_X57Y125,IO_L12N_T1_MRCC_35
C6,35,IOB_X1Y139,RIOB33_X57Y139,IO_L5N_T0_AD13N_35
C7,35,IOB_X1Y140,RIOB33_X57Y139,IO_L5P_T0_AD13P_35
C8,15,IOB_X0Y148,LIOB33_X0Y147,IO_L1P_T0_AD0P_15
C9,15,IOB_X0Y147,LIOB33_X0Y147,IO_L1N_T0_AD0N_15
C11,15,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_15
C12,15,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_15
C13,15,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_15
C14,15,IOB_X0Y134,LIOB33_X0Y133,IO_L8P_T1_AD10P_15
C16,15,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_AD11P_15
D1,35,IOB_X1Y129,RIOB33_X57Y129,IO_L10N_T1_AD15N_35
D3,35,IOB_X1Y127,RIOB33_X57Y127,IO_L11N_T1_SRCC_35
D4,35,IOB_X1Y126,RIOB33_X57Y125,IO_L12P_T1_MRCC_35
D5,35,IOB_X1Y137,RIOB33_X57Y137,IO_L6N_T0_VREF_35
D6,35,IOB_X1Y138,RIOB33_X57Y137,IO_L6P_T0_35
D8,15,IOB_X0Y138,LIOB33_X0Y137,IO_L6P_T0_15
D9,15,IOB_X0Y137,LIOB33_X0Y137,IO_L6N_T0_VREF_15
D10,15,IOB_X0Y149,LIOB33_SING_X0Y149,IO_0_15
D11,15,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_15
D13,15,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_15
D14,15,IOB_X0Y120,LIOB33_X0Y119,IO_L15P_T2_DQS_15
D15,15,IOB_X0Y119,LIOB33_X0Y119,IO_L15N_T2_DQS_ADV_B_15
D16,15,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_A25_15
E1,35,IOB_X1Y119,RIOB33_X57Y119,IO_L15N_T2_DQS_35
E2,35,IOB_X1Y130,RIOB33_X57Y129,IO_L10P_T1_AD15P_35
