pin,bank,site,tile,pin_function
A13,116,OPAD_X1Y8,GTP_CHANNEL_0_MID_RIGHT_X167Y214,MGTPTXN0_116
A15,116,OPAD_X1Y12,GTP_CHANNEL_2_MID_RIGHT_X167Y243,MGTPTXN2_116
A17,116,OPAD_X1Y14,GTP_CHANNEL_3_MID_RIGHT_X167Y254,MGTPTXN3_116
A19,216,OPAD_X0Y14,GTP_CHANNEL_3_MID_LEFT_X103Y254,MGTPTXN3_216
A21,216,OPAD_X0Y12,GTP_CHANNEL_2_MID_LEFT_X103Y243,MGTPTXN2_216
A23,216,OPAD_X0Y8,GTP_CHANNEL_0_MID_LEFT_X103Y214,MGTPTXN0_216
AA2,34,IOB_X1Y117,RIOB33_X105Y117,IO_L16N_T2_34
AA3,34,IOB_X1Y118,RIOB33_X105Y117,IO_L16P_T2_34
AA4,34,IOB_X1Y123,RIOB33_X105Y123,IO_L13N_T2_MRCC_34
AA5,34,IOB_X1Y124,RIOB33_X105Y123,IO_L13P_T2_MRCC_34
AA7,34,IOB_X1Y111,RIOB33_X105Y111,IO_L19N_T3_VREF_34
AA8,34,IOB_X1Y112,RIOB33_X105Y111,IO_L19P_T3_34
AA9,34,IOB_X1Y103,RIOB33_X105Y103,IO_L23N_T3_34
AA10,34,IOB_X1Y104,RIOB33_X105Y103,IO_L23P_T3_34
AA24,14,IOB_X0Y104,LIOB33_X0Y103,IO_L23P_T3_A03_D19_14
AA25,14,IOB_X0Y103,LIOB33_X0Y103,IO_L23N_T3_A02_D18_14
AA27,14,IOB_X0Y110,LIOB33_X0Y109,IO_L20P_T3_A08_D24_14
AA28,14,IOB_X0Y109,LIOB33_X0Y109,IO_L20N_T3_A07_D23_14
AA29,14,IOB_X0Y106,LIOB33_X0Y105,IO_L22P_T3_A05_D21_14
AA30,14,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_14
AA32,14,IOB_X0Y118,LIOB33_X0Y117,IO_L16P_T2_CSI_B_14
AA33,14,IOB_X0Y117,LIOB33_X0Y117,IO_L16N_T2_A15_D31_14
AA34,14,IOB_X0Y114,LIOB33_X0Y113,IO_L18P_T2_A12_D28_14
AB1,34,IOB_X1Y119,RIOB33_X105Y119,IO_L15N_T2_DQS_34
AB2,34,IOB_X1Y120,RIOB33_X105Y119,IO_L15P_T2_DQS_34
AB4,34,IOB_X1Y121,RIOB33_X105Y121,IO_L14N_T2_SRCC_34
AB5,34,IOB_X1Y122,RIOB33_X105Y121,IO_L14P_T2_SRCC_34
AB6,34,IOB_X1Y107,RIOB33_X105Y107,IO_L21N_T3_DQS_34
AB7,34,IOB_X1Y108,RIOB33_X105Y107,IO_L21P_T3_DQS_34
AB9,34,IOB_X1Y101,RIOB33_X105Y101,IO_L24N_T3_34
AB10,34,IOB_X1Y102,RIOB33_X105Y101,IO_L24P_T3_34
AB11,34,IOB_X1Y100,RIOB33_SING_X105Y100,IO_25_34
AB24,14,IOB_X0Y102,LIOB33_X0Y101,IO_L24P_T3_A01_D17_14
AB25,14,IOB_X0Y101,LIOB33_X0Y101,IO_L24N_T3_A00_D16_14
AB26,14,IOB_X0Y108,LIOB33_X0Y107,IO_L21P_T3_DQS_14
AB27,14,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_A06_D22_14
AB29,14,IOB_X0Y105,LIOB33_X0Y105,IO_L22N_T3_A04_D20_14
AB30,14,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_14
AB31,14,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_14
AB32,14,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_14
AB34,14,IOB_X0Y113,LIOB33_X0Y113,IO_L18N_T2_A11_D27_14
AC1,34,IOB_X1Y115,RIOB33_X105Y115,IO_L17N_T2_34
AC2,34,IOB_X1Y116,RIOB33_X105Y115,IO_L17P_T2_34
AC3,34,IOB_X1Y113,RIOB33_X105Y113,IO_L18N_T2_34
AC4,34,IOB_X1Y114,RIOB33_X105Y113,IO_L18P_T2_34
AC6,34,IOB_X1Y109,RIOB33_X105Y109,IO_L20N_T3_34
AC7,34,IOB_X1Y110,RIOB33_X105Y109,IO_L20P_T3_34
AC8,34,IOB_X1Y105,RIOB33_X105Y105,IO_L22N_T3_34
AC9,34,IOB_X1Y106,RIOB33_X105Y105,IO_L22P_T3_34
AC11,33,IOB_X1Y99,RIOB33_SING_X105Y99,IO_0_33
AC24,13,IOB_X0Y56,LIOB33_X0Y55,IO_L22P_T3_13
AC26,13,IOB_X0Y68,LIOB33_X0Y67,IO_L16P_T2_13
AC27,13,IOB_X0Y67,LIOB33_X0Y67,IO_L16N_T2_13
AC28,14,IOB_X0Y112,LIOB33_X0Y111,IO_L19P_T3_A10_D26_14
AC29,14,IOB_X0Y111,LIOB33_X0Y111,IO_L19N_T3_A09_D25_VREF_14
AC31,14,IOB_X0Y116,LIOB33_X0Y115,IO_L17P_T2_A14_D30_14
AC32,14,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_A13_D29_14
AC33,14,IOB_X0Y120,LIOB33_X0Y119,IO_L15P_T2_DQS_RDWR_B_14
AC34,14,IOB_X0Y119,LIOB33_X0Y119,IO_L15N_T2_DQS_DOUT_CSO_B_14
AD1,33,IOB_X1Y96,RIOB33_X105Y95,IO_L2P_T0_33
AD3,33,IOB_X1Y80,RIOB33_X105Y79,IO_L10P_T1_33
AD4,33,IOB_X1Y83,RIOB33_X105Y83,IO_L8N_T1_33
AD5,33,IOB_X1Y84,RIOB33_X105Y83,IO_L8P_T1_33
AD6,33,IOB_X1Y74,RIOB33_X105Y73,IO_L13P_T2_MRCC_33
AD8,33,IOB_X1Y69,RIOB33_X105Y69,IO_L15N_T2_DQS_33
AD9,33,IOB_X1Y70,RIOB33_X105Y69,IO_L15P_T2_DQS_33
AD10,33,IOB_X1Y52,RIOB33_X105Y51,IO_L24P_T3_33
AD11,33,IOB_X1Y56,RIOB33_X105Y55,IO_L22P_T3_33
AD23,13,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_13
AD24,13,IOB_X0Y55,LIOB33_X0Y55,IO_L22N_T3_13
AD25,13,IOB_X0Y52,LIOB33_X0Y51,IO_L24P_T3_13
AD26,13,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_13
AD28,13,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_13
AD29,13,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_13
AD30,13,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_13
AD31,13,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_13
AD33,13,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_13
AD34,13,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_13
AE1,33,IOB_X1Y95,RIOB33_X105Y95,IO_L2N_T0_33
AE2,33,IOB_X1Y92,RIOB33_X105Y91,IO_L4P_T0_33
AE3,33,IOB_X1Y79,RIOB33_X105Y79,IO_L10N_T1_33
AE5,33,IOB_X1Y76,RIOB33_X105Y75,IO_L12P_T1_MRCC_33
AE6,33,IOB_X1Y73,RIOB33_X105Y73,IO_L13N_T2_MRCC_33
AE7,33,IOB_X1Y67,RIOB33_X105Y67,IO_L16N_T2_33
AE8,33,IOB_X1Y68,RIOB33_X105Y67,IO_L16P_T2_33
AE10,33,IOB_X1Y51,RIOB33_X105Y51,IO_L24N_T3_33
AE11,33,IOB_X1Y55,RIOB33_X105Y55,IO_L22N_T3_33
AE23,13,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_13
AE25,13,IOB_X0Y51,LIOB33_X0Y51,IO_L24N_T3_13
AE26,13,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_13
AE27,13,IOB_X0Y64,LIOB33_X0Y63,IO_L18P_T2_13
AE28,13,IOB_X0Y72,LIOB33_X0Y71,IO_L14P_T2_SRCC_13
AE30,13,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_13
AE31,13,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_13
AE32,13,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_13
AE33,13,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_13
AF2,33,IOB_X1Y91,RIOB33_X105Y91,IO_L4N_T0_33
AF3,33,IOB_X1Y90,RIOB33_X105Y89,IO_L5P_T0_33
AF4,33,IOB_X1Y86,RIOB33_X105Y85,IO_L7P_T1_33
AF5,33,IOB_X1Y75,RIOB33_X105Y75,IO_L12N_T1_MRCC_33
AF7,33,IOB_X1Y72,RIOB33_X105Y71,IO_L14P_T2_SRCC_33
AF8,33,IOB_X1Y63,RIOB33_X105Y63,IO_L18N_T2_33
AF9,33,IOB_X1Y64,RIOB33_X105Y63,IO_L18P_T2_33
AF10,33,IOB_X1Y50,RIOB33_SING_X105Y50,IO_25_33
AF12,33,IOB_X1Y60,RIOB33_X105Y59,IO_L20P_T3_33
AF23,13,IOB_X0Y59,LIOB33_X0Y59,IO_L20N_T3_13
AF24,13,IOB_X0Y50,LIOB33_SING_X0Y50,IO_25_13
AF25,13,IOB_X0Y54,LIOB33_X0Y53,IO_L23P_T3_13
AF27,13,IOB_X0Y63,LIOB33_X0Y63,IO_L18N_T2_13
AF28,13,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_13
AF29,13,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_13
AF30,13,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_13
AF32,13,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_13
AF33,13,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_13
AF34,13,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_13
AG1,33,IOB_X1Y98,RIOB33_X105Y97,IO_L1P_T0_33
AG2,33,IOB_X1Y89,RIOB33_X105Y89,IO_L5N_T0_33
AG4,33,IOB_X1Y85,RIOB33_X105Y85,IO_L7N_T1_33
AG5,33,IOB_X1Y77,RIOB33_X105Y77,IO_L11N_T1_SRCC_33
AG6,33,IOB_X1Y78,RIOB33_X105Y77,IO_L11P_T1_SRCC_33
AG7,33,IOB_X1Y71,RIOB33_X105Y71,IO_L14N_T2_SRCC_33
AG9,33,IOB_X1Y57,RIOB33_X105Y57,IO_L21N_T3_DQS_33
AG10,33,IOB_X1Y58,RIOB33_X105Y57,IO_L21P_T3_DQS_33
AG11,33,IOB_X1Y54,RIOB33_X105Y53,IO_L23P_T3_33
AG12,33,IOB_X1Y59,RIOB33_X105Y59,IO_L20N_T3_33
AG14,113,IPAD_X2Y8,GTP_COMMON_MID_RIGHT_X167Y23,MGTREFCLK0P_113
AG16,113,IPAD_X2Y10,GTP_COMMON_MID_RIGHT_X167Y23,MGTREFCLK1P_113
AG18,213,IPAD_X1Y10,GTP_COMMON_MID_LEFT_X103Y23,MGTREFCLK1P_213
AG20,213,IPAD_X1Y8,GTP_COMMON_MID_LEFT_X103Y23,MGTREFCLK0P_213
AG24,13,IOB_X0Y58,LIOB33_X0Y57,IO_L21P_T3_DQS_13
AG25,13,IOB_X0Y53,LIOB33_X0Y53,IO_L23N_T3_13
AG26,13,IOB_X0Y62,LIOB33_X0Y61,IO_L19P_T3_13
AG27,13,IOB_X0Y66,LIOB33_X0Y65,IO_L17P_T2_13
AG29,13,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_13
AG30,13,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_13
AG31,13,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_13
AG32,13,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_13
AG34,13,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_13
AH1,33,IOB_X1Y97,RIOB33_X105Y97,IO_L1N_T0_33
AH2,33,IOB_X1Y94,RIOB33_X105Y93,IO_L3P_T0_DQS_33
AH3,33,IOB_X1Y88,RIOB33_X105Y87,IO_L6P_T0_33
AH4,33,IOB_X1Y82,RIOB33_X105Y81,IO_L9P_T1_DQS_33
