pin,bank,site,tile,pin_function
A2,216,OPAD_X0Y2,GTP_CHANNEL_1_X97Y121,MGTPTXN1_216
A4,216,IPAD_X1Y6,GTP_CHANNEL_0_X97Y110,MGTPRXN0_216
A6,216,IPAD_X1Y12,GTP_CHANNEL_1_X97Y121,MGTPRXN1_216
A8,216,IPAD_X1Y15,GTP_COMMON_X97Y127,MGTREFCLK0N_216
A10,216,IPAD_X1Y17,GTP_COMMON_X97Y127,MGTREFCLK1N_216
A12,0,IPAD_X0Y0,MONITOR_BOT_X46Y79,VP_0
A14,16,IOB_X0Y138,LIOB33_X0Y137,IO_L6P_T0_16
A15,16,IOB_X0Y137,LIOB33_X0Y137,IO_L6N_T0_VREF_16
A16,16,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_16
A17,16,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_16
A18,16,IOB_X0Y111,LIOB33_X0Y111,IO_L19N_T3_VREF_16
B2,216,OPAD_X0Y3,GTP_CHANNEL_1_X97Y121,MGTPTXP1_216
B4,216,IPAD_X1Y7,GTP_CHANNEL_0_X97Y110,MGTPRXP0_216
B6,216,IPAD_X1Y13,GTP_CHANNEL_1_X97Y121,MGTPRXP1_216
B8,216,IPAD_X1Y14,GTP_COMMON_X97Y127,MGTREFCLK0P_216
B10,216,IPAD_X1Y16,GTP_COMMON_X97Y127,MGTREFCLK1P_216
B13,0,IPAD_X0Y1,MONITOR_BOT_X46Y79,VN_0
B15,16,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_16
B16,16,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_16
B17,16,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_16
B18,16,IOB_X0Y112,LIOB33_X0Y111,IO_L19P_T3_16
C15,16,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_16
C16,16,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_16
C17,16,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_16
D1,216,OPAD_X0Y0,GTP_CHANNEL_0_X97Y110,MGTPTXN0_216
D2,216,OPAD_X0Y1,GTP_CHANNEL_0_X97Y110,MGTPTXP0_216
D17,14,IOB_X0Y49,LIOB33_SING_X0Y49,IO_0_14
D18,14,IOB_X0Y48,LIOB33_X0Y47,IO_L1P_T0_D00_MOSI_14
D19,14,IOB_X0Y47,LIOB33_X0Y47,IO_L1N_T0_D01_DIN_14
E18,14,IOB_X0Y44,LIOB33_X0Y43,IO_L3P_T0_DQS_PUDC_B_14
E19,14,IOB_X0Y43,LIOB33_X0Y43,IO_L3N_T0_DQS_EMCCLK_14
F18,14,IOB_X0Y45,LIOB33_X0Y45,IO_L2N_T0_D03_14
G2,35,IOB_X1Y97,RIOB33_X43Y97,IO_L1N_T0_AD4N_35
G3,35,IOB_X1Y98,RIOB33_X43Y97,IO_L1P_T0_AD4P_35
G17,14,IOB_X0Y39,LIOB33_X0Y39,IO_L5N_T0_D07_14
G18,14,IOB_X0Y46,LIOB33_X0Y45,IO_L2P_T0_D02_14
G19,14,IOB_X0Y41,LIOB33_X0Y41,IO_L4N_T0_D05_14
H1,35,IOB_X1Y94,RIOB33_X43Y93,IO_L3P_T0_DQS_AD5P_35
H2,35,IOB_X1Y96,RIOB33_X43Y95,IO_L2P_T0_AD12P_35
H17,14,IOB_X0Y40,LIOB33_X0Y39,IO_L5P_T0_D06_14
H19,14,IOB_X0Y42,LIOB33_X0Y41,IO_L4P_T0_D04_14
J1,35,IOB_X1Y93,RIOB33_X43Y93,IO_L3N_T0_DQS_AD5N_35
J2,35,IOB_X1Y95,RIOB33_X43Y95,IO_L2N_T0_AD12N_35
J3,35,IOB_X1Y86,RIOB33_X43Y85,IO_L7P_T1_AD6P_35
J17,14,IOB_X0Y36,LIOB33_X0Y35,IO_L7P_T1_D09_14
J18,14,IOB_X0Y35,LIOB33_X0Y35,IO_L7N_T1_D10_14
J19,14,IOB_X0Y37,LIOB33_X0Y37,IO_L6N_T0_D08_VREF_14
K2,35,IOB_X1Y90,RIOB33_X43Y89,IO_L5P_T0_AD13P_35
K3,35,IOB_X1Y85,RIOB33_X43Y85,IO_L7N_T1_AD6N_35
K17,14,IOB_X0Y25,LIOB33_X0Y25,IO_L12N_T1_MRCC_14
K18,14,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_D12_14
K19,14,IOB_X0Y38,LIOB33_X0Y37,IO_L6P_T0_FCS_B_14
L1,35,IOB_X1Y87,RIOB33_X43Y87,IO_L6N_T0_VREF_35
L2,35,IOB_X1Y89,RIOB33_X43Y89,IO_L5N_T0_AD13N_35
L3,35,IOB_X1Y84,RIOB33_X43Y83,IO_L8P_T1_AD14P_35
