pin,site,tile
B13,IPAD_X0Y1,MONITOR_BOT_X46Y79
A12,IPAD_X0Y0,MONITOR_BOT_X46Y79
D17,IOB_X0Y49,LIOB33_SING_X0Y49
D18,IOB_X0Y48,LIOB33_X0Y47
D19,IOB_X0Y47,LIOB33_X0Y47
G18,IOB_X0Y46,LIOB33_X0Y45
F18,IOB_X0Y45,LIOB33_X0Y45
E18,IOB_X0Y44,LIOB33_X0Y43
E19,IOB_X0Y43,LIOB33_X0Y43
H19,IOB_X0Y42,LIOB33_X0Y41
G19,IOB_X0Y41,LIOB33_X0Y41
H17,IOB_X0Y40,LIOB33_X0Y39
G17,IOB_X0Y39,LIOB33_X0Y39
K19,IOB_X0Y38,LIOB33_X0Y37
J19,IOB_X0Y37,LIOB33_X0Y37
J17,IOB_X0Y36,LIOB33_X0Y35
J18,IOB_X0Y35,LIOB33_X0Y35
L18,IOB_X0Y34,LIOB33_X0Y33
K18,IOB_X0Y33,LIOB33_X0Y33
N18,IOB_X0Y32,LIOB33_X0Y31
N19,IOB_X0Y31,LIOB33_X0Y31
P19,IOB_X0Y30,LIOB33_X0Y29
R19,IOB_X0Y29,LIOB33_X0Y29
M18,IOB_X0Y28,LIOB33_X0Y27
M19,IOB_X0Y27,LIOB33_X0Y27
L17,IOB_X0Y26,LIOB33_X0Y25
K17,IOB_X0Y25,LIOB33_X0Y25
N17,IOB_X0Y24,LIOB33_X0Y23
P17,IOB_X0Y23,LIOB33_X0Y23
P18,IOB_X0Y22,LIOB33_X0Y21
R18,IOB_X0Y21,LIOB33_X0Y21
U19,IOB_X0Y20,LIOB33_X0Y19
V19,IOB_X0Y19,LIOB33_X0Y19
W18,IOB_X0Y18,LIOB33_X0Y17
W19,IOB_X0Y17,LIOB33_X0Y17
T17,IOB_X0Y16,LIOB33_X0Y15
T18,IOB_X0Y15,LIOB33_X0Y15
U17,IOB_X0Y14,LIOB33_X0Y13
U18,IOB_X0Y13,LIOB33_X0Y13
V16,IOB_X0Y12,LIOB33_X0Y11
V17,IOB_X0Y11,LIOB33_X0Y11
W16,IOB_X0Y10,LIOB33_X0Y9
W17,IOB_X0Y9,LIOB33_X0Y9
V15,IOB_X0Y8,LIOB33_X0Y7
W15,IOB_X0Y7,LIOB33_X0Y7
W13,IOB_X0Y6,LIOB33_X0Y5
W14,IOB_X0Y5,LIOB33_X0Y5
U15,IOB_X0Y4,LIOB33_X0Y3
U16,IOB_X0Y3,LIOB33_X0Y3
V13,IOB_X0Y2,LIOB33_X0Y1
V14,IOB_X0Y1,LIOB33_X0Y1
U14,IOB_X0Y0,LIOB33_SING_X0Y0
A14,IOB_X0Y138,LIOB33_X0Y137
A15,IOB_X0Y137,LIOB33_X0Y137
C15,IOB_X0Y128,LIOB33_X0Y127
B15,IOB_X0Y127,LIOB33_X0Y127
A16,IOB_X0Y126,LIOB33_X0Y125
A17,IOB_X0Y125,LIOB33_X0Y125
C16,IOB_X0Y124,LIOB33_X0Y123
B16,IOB_X0Y123,LIOB33_X0Y123
C17,IOB_X0Y122,LIOB33_X0Y121
B17,IOB_X0Y121,LIOB33_X0Y121
B18,IOB_X0Y112,LIOB33_X0Y111
A18,IOB_X0Y111,LIOB33_X0Y111
