pin,site,tile
K9,IPAD_X0Y1,MONITOR_BOT_X46Y79
J10,IPAD_X0Y0,MONITOR_BOT_X46Y79
R11,IOB_X0Y49,LIOB33_SING_X0Y49
K17,IOB_X0Y48,LIOB33_X0Y47
K18,IOB_X0Y47,LIOB33_X0Y47
L14,IOB_X0Y46,LIOB33_X0Y45
M14,IOB_X0Y45,LIOB33_X0Y45
L15,IOB_X0Y44,LIOB33_X0Y43
L16,IOB_X0Y43,LIOB33_X0Y43
L18,IOB_X0Y42,LIOB33_X0Y41
M18,IOB_X0Y41,LIOB33_X0Y41
R12,IOB_X0Y40,LIOB33_X0Y39
R13,IOB_X0Y39,LIOB33_X0Y39
L13,IOB_X0Y38,LIOB33_X0Y37
M13,IOB_X0Y37,LIOB33_X0Y37
R18,IOB_X0Y36,LIOB33_X0Y35
T18,IOB_X0Y35,LIOB33_X0Y35
N14,IOB_X0Y34,LIOB33_X0Y33
P14,IOB_X0Y33,LIOB33_X0Y33
N17,IOB_X0Y32,LIOB33_X0Y31
P18,IOB_X0Y31,LIOB33_X0Y31
M16,IOB_X0Y30,LIOB33_X0Y29
M17,IOB_X0Y29,LIOB33_X0Y29
N15,IOB_X0Y28,LIOB33_X0Y27
N16,IOB_X0Y27,LIOB33_X0Y27
P17,IOB_X0Y26,LIOB33_X0Y25
R17,IOB_X0Y25,LIOB33_X0Y25
P15,IOB_X0Y24,LIOB33_X0Y23
R15,IOB_X0Y23,LIOB33_X0Y23
T14,IOB_X0Y22,LIOB33_X0Y21
T15,IOB_X0Y21,LIOB33_X0Y21
R16,IOB_X0Y20,LIOB33_X0Y19
T16,IOB_X0Y19,LIOB33_X0Y19
V15,IOB_X0Y18,LIOB33_X0Y17
V16,IOB_X0Y17,LIOB33_X0Y17
U17,IOB_X0Y16,LIOB33_X0Y15
U18,IOB_X0Y15,LIOB33_X0Y15
U16,IOB_X0Y14,LIOB33_X0Y13
V17,IOB_X0Y13,LIOB33_X0Y13
T11,IOB_X0Y12,LIOB33_X0Y11
U11,IOB_X0Y11,LIOB33_X0Y11
U12,IOB_X0Y10,LIOB33_X0Y9
V12,IOB_X0Y9,LIOB33_X0Y9
V10,IOB_X0Y8,LIOB33_X0Y7
V11,IOB_X0Y7,LIOB33_X0Y7
U14,IOB_X0Y6,LIOB33_X0Y5
V14,IOB_X0Y5,LIOB33_X0Y5
T13,IOB_X0Y4,LIOB33_X0Y3
U13,IOB_X0Y3,LIOB33_X0Y3
T9,IOB_X0Y2,LIOB33_X0Y1
T10,IOB_X0Y1,LIOB33_X0Y1
R10,IOB_X0Y0,LIOB33_SING_X0Y0
G13,IOB_X0Y99,LIOB33_SING_X0Y99
D14,IOB_X0Y98,LIOB33_X0Y97
C14,IOB_X0Y97,LIOB33_X0Y97
B13,IOB_X0Y96,LIOB33_X0Y95
B14,IOB_X0Y95,LIOB33_X0Y95
C12,IOB_X0Y94,LIOB33_X0Y93
B12,IOB_X0Y93,LIOB33_X0Y93
B11,IOB_X0Y92,LIOB33_X0Y91
A11,IOB_X0Y91,LIOB33_X0Y91
F13,IOB_X0Y90,LIOB33_X0Y89
F14,IOB_X0Y89,LIOB33_X0Y89
D12,IOB_X0Y88,LIOB33_X0Y87
D13,IOB_X0Y87,LIOB33_X0Y87
B16,IOB_X0Y86,LIOB33_X0Y85
B17,IOB_X0Y85,LIOB33_X0Y85
A15,IOB_X0Y84,LIOB33_X0Y83
A16,IOB_X0Y83,LIOB33_X0Y83
A13,IOB_X0Y82,LIOB33_X0Y81
A14,IOB_X0Y81,LIOB33_X0Y81
B18,IOB_X0Y80,LIOB33_X0Y79
A18,IOB_X0Y79,LIOB33_X0Y79
E15,IOB_X0Y78,LIOB33_X0Y77
