pin,bank,site,tile,pin_function
A1,35,IOB_X1Y81,RIOB33_X43Y81,IO_L9N_T1_DQS_AD7N_35
A3,35,IOB_X1Y83,RIOB33_X43Y83,IO_L8N_T1_AD14N_35
A4,35,IOB_X1Y84,RIOB33_X43Y83,IO_L8P_T1_AD14P_35
A5,35,IOB_X1Y93,RIOB33_X43Y93,IO_L3N_T0_DQS_AD5N_35
A6,35,IOB_X1Y94,RIOB33_X43Y93,IO_L3P_T0_DQS_AD5P_35
A8,16,IOB_X0Y125,LIOB33_X0Y125,IO_L12N_T1_MRCC_16
A9,16,IOB_X0Y121,LIOB33_X0Y121,IO_L14N_T2_SRCC_16
A10,16,IOB_X0Y122,LIOB33_X0Y121,IO_L14P_T2_SRCC_16
A11,15,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_15
A13,15,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_AD3P_15
A14,15,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_AD3N_15
A15,15,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_AD10P_15
A16,15,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_AD10N_15
A18,15,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_AD11N_15
B1,35,IOB_X1Y82,RIOB33_X43Y81,IO_L9P_T1_DQS_AD7P_35
B2,35,IOB_X1Y79,RIOB33_X43Y79,IO_L10N_T1_AD15N_35
B3,35,IOB_X1Y80,RIOB33_X43Y79,IO_L10P_T1_AD15P_35
B4,35,IOB_X1Y85,RIOB33_X43Y85,IO_L7N_T1_AD6N_35
B6,35,IOB_X1Y95,RIOB33_X43Y95,IO_L2N_T0_AD12N_35
B7,35,IOB_X1Y96,RIOB33_X43Y95,IO_L2P_T0_AD12P_35
B8,16,IOB_X0Y126,LIOB33_X0Y125,IO_L12P_T1_MRCC_16
B9,16,IOB_X0Y127,LIOB33_X0Y127,IO_L11N_T1_SRCC_16
B11,15,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_15
B12,15,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_AD1N_15
B13,15,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_AD8P_15
B14,15,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_AD8N_15
B16,15,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_AD2P_15
B17,15,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_AD2N_15
B18,15,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_AD11P_15
C1,35,IOB_X1Y67,RIOB33_X43Y67,IO_L16N_T2_35
C2,35,IOB_X1Y68,RIOB33_X43Y67,IO_L16P_T2_35
C4,35,IOB_X1Y86,RIOB33_X43Y85,IO_L7P_T1_AD6P_35
C5,35,IOB_X1Y97,RIOB33_X43Y97,IO_L1N_T0_AD4N_35
C6,35,IOB_X1Y98,RIOB33_X43Y97,IO_L1P_T0_AD4P_35
C7,35,IOB_X1Y91,RIOB33_X43Y91,IO_L4N_T0_35
C9,16,IOB_X0Y128,LIOB33_X0Y127,IO_L11P_T1_SRCC_16
C10,16,IOB_X0Y123,LIOB33_X0Y123,IO_L13N_T2_MRCC_16
C11,16,IOB_X0Y124,LIOB33_X0Y123,IO_L13P_T2_MRCC_16
C12,15,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_AD1P_15
C14,15,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_AD0N_15
C15,15,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_15
C16,15,IOB_X0Y60,LIOB33_X0Y59,IO_L20P_T3_A20_15
