pin,bank,site,tile,pin_function
A2,35,IOB_X1Y83,RIOB33_X43Y83,IO_L8N_T1_AD14N_35
A3,35,IOB_X1Y91,RIOB33_X43Y91,IO_L4N_T0_35
A4,35,IOB_X1Y93,RIOB33_X43Y93,IO_L3N_T0_DQS_AD5N_35
A5,35,IOB_X1Y94,RIOB33_X43Y93,IO_L3P_T0_DQS_AD5P_35
A7,35,IOB_X1Y97,RIOB33_X43Y97,IO_L1N_T0_AD4N_35
A8,15,IOB_X0Y96,LIOB33_X0Y95,IO_L2P_T0_AD8P_15
A9,15,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_AD8N_15
A10,15,IOB_X0Y93,LIOB33_X0Y93,IO_L3N_T0_DQS_AD1N_15
A12,15,IOB_X0Y89,LIOB33_X0Y89,IO_L5N_T0_AD9N_15
A13,15,IOB_X0Y86,LIOB33_X0Y85,IO_L7P_T1_AD2P_15
A14,15,IOB_X0Y85,LIOB33_X0Y85,IO_L7N_T1_AD2N_15
A15,15,IOB_X0Y81,LIOB33_X0Y81,IO_L9N_T1_DQS_AD3N_15
B1,35,IOB_X1Y81,RIOB33_X43Y81,IO_L9N_T1_DQS_AD7N_35
B2,35,IOB_X1Y84,RIOB33_X43Y83,IO_L8P_T1_AD14P_35
B4,35,IOB_X1Y92,RIOB33_X43Y91,IO_L4P_T0_35
B5,35,IOB_X1Y95,RIOB33_X43Y95,IO_L2N_T0_AD12N_35
B6,35,IOB_X1Y96,RIOB33_X43Y95,IO_L2P_T0_AD12P_35
B7,35,IOB_X1Y98,RIOB33_X43Y97,IO_L1P_T0_AD4P_35
B9,15,IOB_X0Y94,LIOB33_X0Y93,IO_L3P_T0_DQS_AD1P_15
B10,15,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_15
B11,15,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_15
B12,15,IOB_X0Y90,LIOB33_X0Y89,IO_L5P_T0_AD9P_15
B14,15,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_AD10N_15
B15,15,IOB_X0Y82,LIOB33_X0Y81,IO_L9P_T1_DQS_AD3P_15
B16,15,IOB_X0Y79,LIOB33_X0Y79,IO_L10N_T1_AD11N_15
C1,35,IOB_X1Y82,RIOB33_X43Y81,IO_L9P_T1_DQS_AD7P_35
C2,35,IOB_X1Y85,RIOB33_X43Y85,IO_L7N_T1_AD6N_35
C3,35,IOB_X1Y86,RIOB33_X43Y85,IO_L7P_T1_AD6P_35
C4,35,IOB_X1Y75,RIOB33_X43Y75,IO_L12N_T1_MRCC_35
C6,35,IOB_X1Y89,RIOB33_X43Y89,IO_L5N_T0_AD13N_35
C7,35,IOB_X1Y90,RIOB33_X43Y89,IO_L5P_T0_AD13P_35
C8,15,IOB_X0Y98,LIOB33_X0Y97,IO_L1P_T0_AD0P_15
C9,15,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_AD0N_15
C11,15,IOB_X0Y78,LIOB33_X0Y77,IO_L11P_T1_SRCC_15
C12,15,IOB_X0Y77,LIOB33_X0Y77,IO_L11N_T1_SRCC_15
C13,15,IOB_X0Y75,LIOB33_X0Y75,IO_L12N_T1_MRCC_15
C14,15,IOB_X0Y84,LIOB33_X0Y83,IO_L8P_T1_AD10P_15
C16,15,IOB_X0Y80,LIOB33_X0Y79,IO_L10P_T1_AD11P_15
D1,35,IOB_X1Y79,RIOB33_X43Y79,IO_L10N_T1_AD15N_35
D3,35,IOB_X1Y77,RIOB33_X43Y77,IO_L11N_T1_SRCC_35
D4,35,IOB_X1Y76,RIOB33_X43Y75,IO_L12P_T1_MRCC_35
D5,35,IOB_X1Y87,RIOB33_X43Y87,IO_L6N_T0_VREF_35
D6,35,IOB_X1Y88,RIOB33_X43Y87,IO_L6P_T0_35
D8,15,IOB_X0Y88,LIOB33_X0Y87,IO_L6P_T0_15
D9,15,IOB_X0Y87,LIOB33_X0Y87,IO_L6N_T0_VREF_15
D10,15,IOB_X0Y99,LIOB33_SING_X0Y99,IO_0_15
D11,15,IOB_X0Y71,LIOB33_X0Y71,IO_L14N_T2_SRCC_15
D13,15,IOB_X0Y76,LIOB33_X0Y75,IO_L12P_T1_MRCC_15
D14,15,IOB_X0Y70,LIOB33_X0Y69,IO_L15P_T2_DQS_15
D15,15,IOB_X0Y69,LIOB33_X0Y69,IO_L15N_T2_DQS_ADV_B_15
D16,15,IOB_X0Y65,LIOB33_X0Y65,IO_L17N_T2_A25_15
E1,35,IOB_X1Y69,RIOB33_X43Y69,IO_L15N_T2_DQS_35
E2,35,IOB_X1Y80,RIOB33_X43Y79,IO_L10P_T1_AD15P_35
E3,35,IOB_X1Y78,RIOB33_X43Y77,IO_L11P_T1_SRCC_35
