pin,bank,site,tile,pin_function
A1,35,IOB_X1Y97,RIOB33_X43Y97,IO_L1N_T0_AD4N_35
A4,216,OPAD_X0Y0,GTP_CHANNEL_0_X97Y110,MGTPTXN0_216
A6,216,OPAD_X0Y4,GTP_CHANNEL_2_X97Y139,MGTPTXN2_216
A8,216,IPAD_X1Y6,GTP_CHANNEL_0_X97Y110,MGTPRXN0_216
A10,216,IPAD_X1Y24,GTP_CHANNEL_2_X97Y139,MGTPRXN2_216
A13,16,IOB_X0Y130,LIOB33_X0Y129,IO_L10P_T1_16
A14,16,IOB_X0Y129,LIOB33_X0Y129,IO_L10N_T1_16
A15,16,IOB_X0Y132,LIOB33_X0Y131,IO_L9P_T1_DQS_16
A16,16,IOB_X0Y131,LIOB33_X0Y131,IO_L9N_T1_DQS_16
A18,16,IOB_X0Y116,LIOB33_X0Y115,IO_L17P_T2_16
A19,16,IOB_X0Y115,LIOB33_X0Y115,IO_L17N_T2_16
A20,16,IOB_X0Y117,LIOB33_X0Y117,IO_L16N_T2_16
A21,16,IOB_X0Y107,LIOB33_X0Y107,IO_L21N_T3_DQS_16
AA1,34,IOB_X1Y36,RIOB33_X43Y35,IO_L7P_T1_34
AA3,34,IOB_X1Y31,RIOB33_X43Y31,IO_L9N_T1_DQS_34
AA4,34,IOB_X1Y27,RIOB33_X43Y27,IO_L11N_T1_SRCC_34
AA5,34,IOB_X1Y30,RIOB33_X43Y29,IO_L10P_T1_34
AA6,34,IOB_X1Y13,RIOB33_X43Y13,IO_L18N_T2_34
AA8,34,IOB_X1Y6,RIOB33_X43Y5,IO_L22P_T3_34
AA18,14,IOB_X0Y16,LIOB33_X0Y15,IO_L17P_T2_A14_D30_14
AA19,14,IOB_X0Y20,LIOB33_X0Y19,IO_L15P_T2_DQS_RDWR_B_14
AA20,14,IOB_X0Y34,LIOB33_X0Y33,IO_L8P_T1_D11_14
AA21,14,IOB_X0Y33,LIOB33_X0Y33,IO_L8N_T1_D12_14
AB1,34,IOB_X1Y35,RIOB33_X43Y35,IO_L7N_T1_34
AB2,34,IOB_X1Y33,RIOB33_X43Y33,IO_L8N_T1_34
AB3,34,IOB_X1Y34,RIOB33_X43Y33,IO_L8P_T1_34
AB5,34,IOB_X1Y29,RIOB33_X43Y29,IO_L10N_T1_34
