pin,site,tile
M9,IPAD_X0Y1,MONITOR_BOT_X46Y79
L10,IPAD_X0Y0,MONITOR_BOT_X46Y79
P20,IOB_X0Y49,LIOB33_SING_X0Y49
P22,IOB_X0Y48,LIOB33_X0Y47
R22,IOB_X0Y47,LIOB33_X0Y47
P21,IOB_X0Y46,LIOB33_X0Y45
R21,IOB_X0Y45,LIOB33_X0Y45
U22,IOB_X0Y44,LIOB33_X0Y43
V22,IOB_X0Y43,LIOB33_X0Y43
T21,IOB_X0Y42,LIOB33_X0Y41
U21,IOB_X0Y41,LIOB33_X0Y41
P19,IOB_X0Y40,LIOB33_X0Y39
R19,IOB_X0Y39,LIOB33_X0Y39
T19,IOB_X0Y38,LIOB33_X0Y37
T20,IOB_X0Y37,LIOB33_X0Y37
W21,IOB_X0Y36,LIOB33_X0Y35
W22,IOB_X0Y35,LIOB33_X0Y35
AA20,IOB_X0Y34,LIOB33_X0Y33
AA21,IOB_X0Y33,LIOB33_X0Y33
Y21,IOB_X0Y32,LIOB33_X0Y31
Y22,IOB_X0Y31,LIOB33_X0Y31
AB21,IOB_X0Y30,LIOB33_X0Y29
AB22,IOB_X0Y29,LIOB33_X0Y29
U20,IOB_X0Y28,LIOB33_X0Y27
V20,IOB_X0Y27,LIOB33_X0Y27
W19,IOB_X0Y26,LIOB33_X0Y25
W20,IOB_X0Y25,LIOB33_X0Y25
Y18,IOB_X0Y24,LIOB33_X0Y23
Y19,IOB_X0Y23,LIOB33_X0Y23
V18,IOB_X0Y22,LIOB33_X0Y21
V19,IOB_X0Y21,LIOB33_X0Y21
AA19,IOB_X0Y20,LIOB33_X0Y19
AB20,IOB_X0Y19,LIOB33_X0Y19
V17,IOB_X0Y18,LIOB33_X0Y17
W17,IOB_X0Y17,LIOB33_X0Y17
AA18,IOB_X0Y16,LIOB33_X0Y15
AB18,IOB_X0Y15,LIOB33_X0Y15
U17,IOB_X0Y14,LIOB33_X0Y13
U18,IOB_X0Y13,LIOB33_X0Y13
P14,IOB_X0Y12,LIOB33_X0Y11
R14,IOB_X0Y11,LIOB33_X0Y11
R18,IOB_X0Y10,LIOB33_X0Y9
T18,IOB_X0Y9,LIOB33_X0Y9
N17,IOB_X0Y8,LIOB33_X0Y7
P17,IOB_X0Y7,LIOB33_X0Y7
P15,IOB_X0Y6,LIOB33_X0Y5
R16,IOB_X0Y5,LIOB33_X0Y5
N13,IOB_X0Y4,LIOB33_X0Y3
N14,IOB_X0Y3,LIOB33_X0Y3
P16,IOB_X0Y2,LIOB33_X0Y1
R17,IOB_X0Y1,LIOB33_X0Y1
N15,IOB_X0Y0,LIOB33_SING_X0Y0
J16,IOB_X0Y99,LIOB33_SING_X0Y99
H13,IOB_X0Y98,LIOB33_X0Y97
G13,IOB_X0Y97,LIOB33_X0Y97
G15,IOB_X0Y96,LIOB33_X0Y95
G16,IOB_X0Y95,LIOB33_X0Y95
J14,IOB_X0Y94,LIOB33_X0Y93
H14,IOB_X0Y93,LIOB33_X0Y93
G17,IOB_X0Y92,LIOB33_X0Y91
G18,IOB_X0Y91,LIOB33_X0Y91
J15,IOB_X0Y90,LIOB33_X0Y89
H15,IOB_X0Y89,LIOB33_X0Y89
H17,IOB_X0Y88,LIOB33_X0Y87
H18,IOB_X0Y87,LIOB33_X0Y87
J22,IOB_X0Y86,LIOB33_X0Y85
H22,IOB_X0Y85,LIOB33_X0Y85
H20,IOB_X0Y84,LIOB33_X0Y83
G20,IOB_X0Y83,LIOB33_X0Y83
K21,IOB_X0Y82,LIOB33_X0Y81
K22,IOB_X0Y81,LIOB33_X0Y81
M21,IOB_X0Y80,LIOB33_X0Y79
L21,IOB_X0Y79,LIOB33_X0Y79
J20,IOB_X0Y78,LIOB33_X0Y77
J21,IOB_X0Y77,LIOB33_X0Y77
J19,IOB_X0Y76,LIOB33_X0Y75
H19,IOB_X0Y75,LIOB33_X0Y75
K18,IOB_X0Y74,LIOB33_X0Y73
K19,IOB_X0Y73,LIOB33_X0Y73
L19,IOB_X0Y72,LIOB33_X0Y71
L20,IOB_X0Y71,LIOB33_X0Y71
N22,IOB_X0Y70,LIOB33_X0Y69
M22,IOB_X0Y69,LIOB33_X0Y69
M18,IOB_X0Y68,LIOB33_X0Y67
L18,IOB_X0Y67,LIOB33_X0Y67
N18,IOB_X0Y66,LIOB33_X0Y65
N19,IOB_X0Y65,LIOB33_X0Y65
N20,IOB_X0Y64,LIOB33_X0Y63
M20,IOB_X0Y63,LIOB33_X0Y63
K13,IOB_X0Y62,LIOB33_X0Y61
K14,IOB_X0Y61,LIOB33_X0Y61
M13,IOB_X0Y60,LIOB33_X0Y59
L13,IOB_X0Y59,LIOB33_X0Y59
K17,IOB_X0Y58,LIOB33_X0Y57
