pin,site,tile
N12,IPAD_X0Y66,MONITOR_BOT_FUJI2_X61Y131
P11,IPAD_X0Y67,MONITOR_BOT_FUJI2_X61Y131
N16,IOB_X0Y49,LIOB33_SING_X0Y49
K25,IOB_X0Y48,LIOB33_X0Y47
K26,IOB_X0Y47,LIOB33_X0Y47
R26,IOB_X0Y46,LIOB33_X0Y45
P26,IOB_X0Y45,LIOB33_X0Y45
M25,IOB_X0Y44,LIOB33_X0Y43
L25,IOB_X0Y43,LIOB33_X0Y43
P24,IOB_X0Y42,LIOB33_X0Y41
N24,IOB_X0Y41,LIOB33_X0Y41
N26,IOB_X0Y40,LIOB33_X0Y39
M26,IOB_X0Y39,LIOB33_X0Y39
R25,IOB_X0Y38,LIOB33_X0Y37
P25,IOB_X0Y37,LIOB33_X0Y37
N19,IOB_X0Y36,LIOB33_X0Y35
M20,IOB_X0Y35,LIOB33_X0Y35
M24,IOB_X0Y34,LIOB33_X0Y33
L24,IOB_X0Y33,LIOB33_X0Y33
P19,IOB_X0Y32,LIOB33_X0Y31
P20,IOB_X0Y31,LIOB33_X0Y31
M21,IOB_X0Y30,LIOB33_X0Y29
M22,IOB_X0Y29,LIOB33_X0Y29
P23,IOB_X0Y28,LIOB33_X0Y27
N23,IOB_X0Y27,LIOB33_X0Y27
N21,IOB_X0Y26,LIOB33_X0Y25
N22,IOB_X0Y25,LIOB33_X0Y25
R21,IOB_X0Y24,LIOB33_X0Y23
P21,IOB_X0Y23,LIOB33_X0Y23
R22,IOB_X0Y22,LIOB33_X0Y21
R23,IOB_X0Y21,LIOB33_X0Y21
T24,IOB_X0Y20,LIOB33_X0Y19
T25,IOB_X0Y19,LIOB33_X0Y19
T20,IOB_X0Y18,LIOB33_X0Y17
R20,IOB_X0Y17,LIOB33_X0Y17
T22,IOB_X0Y16,LIOB33_X0Y15
T23,IOB_X0Y15,LIOB33_X0Y15
U19,IOB_X0Y14,LIOB33_X0Y13
U20,IOB_X0Y13,LIOB33_X0Y13
T18,IOB_X0Y12,LIOB33_X0Y11
T19,IOB_X0Y11,LIOB33_X0Y11
P16,IOB_X0Y10,LIOB33_X0Y9
N17,IOB_X0Y9,LIOB33_X0Y9
R16,IOB_X0Y8,LIOB33_X0Y7
R17,IOB_X0Y7,LIOB33_X0Y7
N18,IOB_X0Y6,LIOB33_X0Y5
M19,IOB_X0Y5,LIOB33_X0Y5
