pin,bank,site,tile,pin_function
A3,116,OPAD_X0Y14,GTX_CHANNEL_3_X99Y202,MGTXTXN3_116
A4,116,OPAD_X0Y15,GTX_CHANNEL_3_X99Y202,MGTXTXP3_116
A8,16,IOB_X0Y181,LIOB33_X0Y181,IO_L9N_T1_DQS_16
A9,16,IOB_X0Y182,LIOB33_X0Y181,IO_L9P_T1_DQS_16
A10,16,IOB_X0Y155,LIOB33_X0Y155,IO_L22N_T3_16
A12,16,IOB_X0Y151,LIOB33_X0Y151,IO_L24N_T3_16
A13,16,IOB_X0Y152,LIOB33_X0Y151,IO_L24P_T3_16
A14,16,IOB_X0Y157,LIOB33_X0Y157,IO_L21N_T3_DQS_16
A15,16,IOB_X0Y153,LIOB33_X0Y153,IO_L23N_T3_16
A17,15,IOB_X0Y143,LIOB33_X0Y143,IO_L3N_T0_DQS_AD1N_15
A18,15,IOB_X0Y146,LIOB33_X0Y145,IO_L2P_T0_AD8P_15
A19,15,IOB_X0Y145,LIOB33_X0Y145,IO_L2N_T0_AD8N_15
A20,14,IOB_X0Y83,LIOB33_X0Y83,IO_L8N_T1_D12_14
A22,14,IOB_X0Y95,LIOB33_X0Y95,IO_L2N_T0_D03_14
A23,14,IOB_X0Y92,LIOB33_X0Y91,IO_L4P_T0_D04_14
A24,14,IOB_X0Y91,LIOB33_X0Y91,IO_L4N_T0_D05_14
A25,14,IOB_X0Y97,LIOB33_X0Y97,IO_L1N_T0_D01_DIN_14
AA2,34,IOB_X1Y75,RIOB18_X43Y75,IO_L12N_T1_MRCC_34
AA3,34,IOB_X1Y76,RIOB18_X43Y75,IO_L12P_T1_MRCC_34
AA4,34,IOB_X1Y74,RIOB18_X43Y73,IO_L13P_T2_MRCC_34
AA5,34,IOB_X1Y70,RIOB18_X43Y69,IO_L15P_T2_DQS_34
AA7,33,IOB_X1Y33,RIOB18_X43Y33,IO_L8N_T1_33
AA8,33,IOB_X1Y34,RIOB18_X43Y33,IO_L8P_T1_33
AA9,33,IOB_X1Y28,RIOB18_X43Y27,IO_L11P_T1_SRCC_33
