pin,bank,site,tile,pin_function
A2,502,IOPAD_X1Y33,PSS2_X13Y53,PS_DDR_DQ1_502
A3,502,IOPAD_X1Y39,PSS2_X13Y53,PS_DDR_DQ7_502
A4,502,IOPAD_X1Y37,PSS2_X13Y53,PS_DDR_DQ5_502
A5,500,IOPAD_X1Y78,PSS2_X13Y53,PS_MIO1_500
A7,500,IOPAD_X1Y80,PSS2_X13Y53,PS_MIO3_500
A8,500,IOPAD_X1Y79,PSS2_X13Y53,PS_MIO2_500
A9,500,IOPAD_X1Y82,PSS2_X13Y53,PS_MIO5_500
A10,500,IOPAD_X1Y83,PSS2_X13Y53,PS_MIO6_500
A12,501,IOPAD_X1Y129,PSS2_X13Y53,PS_MIO52_501
A13,501,IOPAD_X1Y115,PSS2_X13Y53,PS_MIO38_501
A14,501,IOPAD_X1Y112,PSS2_X13Y53,PS_MIO35_501
A15,501,IOPAD_X1Y105,PSS2_X13Y53,PS_MIO28_501
B1,502,IOPAD_X1Y28,PSS2_X13Y53,PS_DDR_DM0_502
B2,502,IOPAD_X1Y64,PSS2_X13Y53,PS_DDR_DQS_N0_502
B4,502,IOPAD_X1Y36,PSS2_X13Y53,PS_DDR_DQ4_502
B5,500,IOPAD_X1Y86,PSS2_X13Y53,PS_MIO9_500
B6,500,IOPAD_X1Y85,PSS2_X13Y53,PS_MIO8_500
B7,500,IOPAD_X1Y89,PSS2_X13Y53,PS_MIO12_500
B9,500,IOPAD_X1Y91,PSS2_X13Y53,PS_MIO14_500
B10,500,IOPAD_X1Y88,PSS2_X13Y53,PS_MIO11_500
B11,501,IOPAD_X1Y134,PSS2_X13Y53,PS_SRST_B_501
B12,501,IOPAD_X1Y125,PSS2_X13Y53,PS_MIO48_501
B14,501,IOPAD_X1Y113,PSS2_X13Y53,PS_MIO36_501
B15,501,IOPAD_X1Y107,PSS2_X13Y53,PS_MIO30_501
C1,502,IOPAD_X1Y35,PSS2_X13Y53,PS_DDR_DQ3_502
C2,502,IOPAD_X1Y68,PSS2_X13Y53,PS_DDR_DQS_P0_502
C3,502,IOPAD_X1Y38,PSS2_X13Y53,PS_DDR_DQ6_502
C4,502,IOPAD_X1Y34,PSS2_X13Y53,PS_DDR_DQ2_502
C6,500,IOPAD_X1Y90,PSS2_X13Y53,PS_MIO13_500
C7,500,IOPAD_X1Y26,PSS2_X13Y53,PS_CLK_500
C8,500,IOPAD_X1Y81,PSS2_X13Y53,PS_MIO4_500
C9,500,IOPAD_X1Y132,PSS2_X13Y53,PS_POR_B_500
C11,501,IOPAD_X1Y110,PSS2_X13Y53,PS_MIO33_501
C12,501,IOPAD_X1Y108,PSS2_X13Y53,PS_MIO31_501
C13,501,IOPAD_X1Y130,PSS2_X13Y53,PS_MIO53_501
C14,501,IOPAD_X1Y114,PSS2_X13Y53,PS_MIO37_501
D1,502,IOPAD_X1Y41,PSS2_X13Y53,PS_DDR_DQ9_502
D3,502,IOPAD_X1Y29,PSS2_X13Y53,PS_DDR_DM1_502
D4,502,IOPAD_X1Y32,PSS2_X13Y53,PS_DDR_DQ0_502
D6,500,IOPAD_X1Y87,PSS2_X13Y53,PS_MIO10_500
D8,500,IOPAD_X1Y77,PSS2_X13Y53,PS_MIO0_500
D9,500,IOPAD_X1Y84,PSS2_X13Y53,PS_MIO7_500
D10,500,IOPAD_X1Y92,PSS2_X13Y53,PS_MIO15_500
D11,501,IOPAD_X1Y106,PSS2_X13Y53,PS_MIO29_501
D13,501,IOPAD_X1Y126,PSS2_X13Y53,PS_MIO49_501
D14,501,IOPAD_X1Y116,PSS2_X13Y53,PS_MIO39_501
D15,501,IOPAD_X1Y111,PSS2_X13Y53,PS_MIO34_501
E1,502,IOPAD_X1Y40,PSS2_X13Y53,PS_DDR_DQ8_502
E2,502,IOPAD_X1Y42,PSS2_X13Y53,PS_DDR_DQ10_502
E3,502,IOPAD_X1Y43,PSS2_X13Y53,PS_DDR_DQ11_502
E11,35,IOB_X0Y96,RIOB33_X31Y95,IO_L2P_T0_AD8P_35
E12,35,IOB_X0Y95,RIOB33_X31Y95,IO_L2N_T0_AD8N_35
E13,35,IOB_X0Y97,RIOB33_X31Y97,IO_L1N_T0_AD0N_35
E15,501,IOPAD_X1Y109,PSS2_X13Y53,PS_MIO32_501
F2,502,IOPAD_X1Y65,PSS2_X13Y53,PS_DDR_DQS_N1_502
F3,502,IOPAD_X1Y44,PSS2_X13Y53,PS_DDR_DQ12_502
