pin,site,tile
L10,IPAD_X0Y1,MONITOR_BOT_PELE1_X67Y79
K9,IPAD_X0Y0,MONITOR_BOT_PELE1_X67Y79
R19,IOB_X0Y49,RIOB33_SING_X31Y49
T11,IOB_X0Y48,RIOB33_X31Y47
T10,IOB_X0Y47,RIOB33_X31Y47
T12,IOB_X0Y46,RIOB33_X31Y45
U12,IOB_X0Y45,RIOB33_X31Y45
U13,IOB_X0Y44,RIOB33_X31Y43
V13,IOB_X0Y43,RIOB33_X31Y43
V12,IOB_X0Y42,RIOB33_X31Y41
W13,IOB_X0Y41,RIOB33_X31Y41
T14,IOB_X0Y40,RIOB33_X31Y39
T15,IOB_X0Y39,RIOB33_X31Y39
P14,IOB_X0Y38,RIOB33_X31Y37
R14,IOB_X0Y37,RIOB33_X31Y37
Y16,IOB_X0Y36,RIOB33_X31Y35
Y17,IOB_X0Y35,RIOB33_X31Y35
W14,IOB_X0Y34,RIOB33_X31Y33
Y14,IOB_X0Y33,RIOB33_X31Y33
T16,IOB_X0Y32,RIOB33_X31Y31
U17,IOB_X0Y31,RIOB33_X31Y31
V15,IOB_X0Y30,RIOB33_X31Y29
W15,IOB_X0Y29,RIOB33_X31Y29
U14,IOB_X0Y28,RIOB33_X31Y27
U15,IOB_X0Y27,RIOB33_X31Y27
U18,IOB_X0Y26,RIOB33_X31Y25
U19,IOB_X0Y25,RIOB33_X31Y25
N18,IOB_X0Y24,RIOB33_X31Y23
P19,IOB_X0Y23,RIOB33_X31Y23
N20,IOB_X0Y22,RIOB33_X31Y21
P20,IOB_X0Y21,RIOB33_X31Y21
T20,IOB_X0Y20,RIOB33_X31Y19
U20,IOB_X0Y19,RIOB33_X31Y19
V20,IOB_X0Y18,RIOB33_X31Y17
W20,IOB_X0Y17,RIOB33_X31Y17
Y18,IOB_X0Y16,RIOB33_X31Y15
Y19,IOB_X0Y15,RIOB33_X31Y15
V16,IOB_X0Y14,RIOB33_X31Y13
W16,IOB_X0Y13,RIOB33_X31Y13
R16,IOB_X0Y12,RIOB33_X31Y11
R17,IOB_X0Y11,RIOB33_X31Y11
T17,IOB_X0Y10,RIOB33_X31Y9
R18,IOB_X0Y9,RIOB33_X31Y9
V17,IOB_X0Y8,RIOB33_X31Y7
V18,IOB_X0Y7,RIOB33_X31Y7
W18,IOB_X0Y6,RIOB33_X31Y5
W19,IOB_X0Y5,RIOB33_X31Y5
N17,IOB_X0Y4,RIOB33_X31Y3
P18,IOB_X0Y3,RIOB33_X31Y3
P15,IOB_X0Y2,RIOB33_X31Y1
P16,IOB_X0Y1,RIOB33_X31Y1
T19,IOB_X0Y0,RIOB33_SING_X31Y0
G14,IOB_X0Y99,RIOB33_SING_X31Y99
C20,IOB_X0Y98,RIOB33_X31Y97
B20,IOB_X0Y97,RIOB33_X31Y97
B19,IOB_X0Y96,RIOB33_X31Y95
A20,IOB_X0Y95,RIOB33_X31Y95
E17,IOB_X0Y94,RIOB33_X31Y93
D18,IOB_X0Y93,RIOB33_X31Y93
D19,IOB_X0Y92,RIOB33_X31Y91
D20,IOB_X0Y91,RIOB33_X31Y91
E18,IOB_X0Y90,RIOB33_X31Y89
E19,IOB_X0Y89,RIOB33_X31Y89
F16,IOB_X0Y88,RIOB33_X31Y87
F17,IOB_X0Y87,RIOB33_X31Y87
M19,IOB_X0Y86,RIOB33_X31Y85
M20,IOB_X0Y85,RIOB33_X31Y85
M17,IOB_X0Y84,RIOB33_X31Y83
M18,IOB_X0Y83,RIOB33_X31Y83
L19,IOB_X0Y82,RIOB33_X31Y81
L20,IOB_X0Y81,RIOB33_X31Y81
K19,IOB_X0Y80,RIOB33_X31Y79
J19,IOB_X0Y79,RIOB33_X31Y79
L16,IOB_X0Y78,RIOB33_X31Y77
L17,IOB_X0Y77,RIOB33_X31Y77
K17,IOB_X0Y76,RIOB33_X31Y75
K18,IOB_X0Y75,RIOB33_X31Y75
H16,IOB_X0Y74,RIOB33_X31Y73
H17,IOB_X0Y73,RIOB33_X31Y73
J18,IOB_X0Y72,RIOB33_X31Y71
H18,IOB_X0Y71,RIOB33_X31Y71
F19,IOB_X0Y70,RIOB33_X31Y69
F20,IOB_X0Y69,RIOB33_X31Y69
G17,IOB_X0Y68,RIOB33_X31Y67
G18,IOB_X0Y67,RIOB33_X31Y67
J20,IOB_X0Y66,RIOB33_X31Y65
H20,IOB_X0Y65,RIOB33_X31Y65
G19,IOB_X0Y64,RIOB33_X31Y63
G20,IOB_X0Y63,RIOB33_X31Y63
H15,IOB_X0Y62,RIOB33_X31Y61
G15,IOB_X0Y61,RIOB33_X31Y61
K14,IOB_X0Y60,RIOB33_X31Y59
J14,IOB_X0Y59,RIOB33_X31Y59
N15,IOB_X0Y58,RIOB33_X31Y57
N16,IOB_X0Y57,RIOB33_X31Y57
L14,IOB_X0Y56,RIOB33_X31Y55
L15,IOB_X0Y55,RIOB33_X31Y55
M14,IOB_X0Y54,RIOB33_X31Y53
M15,IOB_X0Y53,RIOB33_X31Y53
K16,IOB_X0Y52,RIOB33_X31Y51
J16,IOB_X0Y51,RIOB33_X31Y51
J15,IOB_X0Y50,RIOB33_SING_X31Y50
E7,IOPAD_X1Y26,PSS2_X13Y53
C7,IOPAD_X1Y132,PSS2_X13Y53
C8,IOPAD_X1Y92,PSS2_X13Y53
E14,IOPAD_X1Y94,PSS2_X13Y53
D10,IOPAD_X1Y96,PSS2_X13Y53
F14,IOPAD_X1Y98,PSS2_X13Y53
D11,IOPAD_X1Y100,PSS2_X13Y53
F15,IOPAD_X1Y102,PSS2_X13Y53
D13,IOPAD_X1Y104,PSS2_X13Y53
C13,IOPAD_X1Y106,PSS2_X13Y53
E16,IOPAD_X1Y108,PSS2_X13Y53
D15,IOPAD_X1Y110,PSS2_X13Y53
F12,IOPAD_X1Y112,PSS2_X13Y53
E13,IOPAD_X1Y115,PSS2_X13Y53
D14,IOPAD_X1Y117,PSS2_X13Y53
E12,IOPAD_X1Y119,PSS2_X13Y53
F13,IOPAD_X1Y121,PSS2_X13Y53
D16,IOPAD_X1Y123,PSS2_X13Y53
B12,IOPAD_X1Y125,PSS2_X13Y53
B13,IOPAD_X1Y127,PSS2_X13Y53
C10,IOPAD_X1Y129,PSS2_X13Y53
B10,IOPAD_X1Y134,PSS2_X13Y53
C5,IOPAD_X1Y91,PSS2_X13Y53
A19,IOPAD_X1Y93,PSS2_X13Y53
B18,IOPAD_X1Y95,PSS2_X13Y53
A17,IOPAD_X1Y97,PSS2_X13Y53
B17,IOPAD_X1Y99,PSS2_X13Y53
A16,IOPAD_X1Y101,PSS2_X13Y53
A15,IOPAD_X1Y103,PSS2_X13Y53
C16,IOPAD_X1Y105,PSS2_X13Y53
C15,IOPAD_X1Y107,PSS2_X13Y53
A14,IOPAD_X1Y109,PSS2_X13Y53
A12,IOPAD_X1Y111,PSS2_X13Y53
A11,IOPAD_X1Y113,PSS2_X13Y53
A10,IOPAD_X1Y114,PSS2_X13Y53
C18,IOPAD_X1Y116,PSS2_X13Y53
C17,IOPAD_X1Y118,PSS2_X13Y53
A9,IOPAD_X1Y120,PSS2_X13Y53
B15,IOPAD_X1Y122,PSS2_X13Y53
B14,IOPAD_X1Y124,PSS2_X13Y53
C12,IOPAD_X1Y126,PSS2_X13Y53
B9,IOPAD_X1Y128,PSS2_X13Y53
C11,IOPAD_X1Y130,PSS2_X13Y53
E8,IOPAD_X1Y90,PSS2_X13Y53
D9,IOPAD_X1Y89,PSS2_X13Y53
C6,IOPAD_X1Y88,PSS2_X13Y53
E9,IOPAD_X1Y87,PSS2_X13Y53
B5,IOPAD_X1Y86,PSS2_X13Y53
D5,IOPAD_X1Y85,PSS2_X13Y53
D8,IOPAD_X1Y84,PSS2_X13Y53
A5,IOPAD_X1Y83,PSS2_X13Y53
A6,IOPAD_X1Y82,PSS2_X13Y53
B7,IOPAD_X1Y81,PSS2_X13Y53
D6,IOPAD_X1Y80,PSS2_X13Y53
B8,IOPAD_X1Y79,PSS2_X13Y53
A7,IOPAD_X1Y78,PSS2_X13Y53
E6,IOPAD_X1Y77,PSS2_X13Y53
B4,IOPAD_X1Y72,PSS2_X13Y53
C3,IOPAD_X1Y32,PSS2_X13Y53
B3,IOPAD_X1Y33,PSS2_X13Y53
A2,IOPAD_X1Y34,PSS2_X13Y53
A4,IOPAD_X1Y35,PSS2_X13Y53
A1,IOPAD_X1Y28,PSS2_X13Y53
C2,IOPAD_X1Y68,PSS2_X13Y53
B2,IOPAD_X1Y64,PSS2_X13Y53
D3,IOPAD_X1Y36,PSS2_X13Y53
D1,IOPAD_X1Y37,PSS2_X13Y53
C1,IOPAD_X1Y38,PSS2_X13Y53
E1,IOPAD_X1Y39,PSS2_X13Y53
E2,IOPAD_X1Y40,PSS2_X13Y53
E3,IOPAD_X1Y41,PSS2_X13Y53
G3,IOPAD_X1Y42,PSS2_X13Y53
H3,IOPAD_X1Y43,PSS2_X13Y53
F1,IOPAD_X1Y29,PSS2_X13Y53
G2,IOPAD_X1Y69,PSS2_X13Y53
F2,IOPAD_X1Y65,PSS2_X13Y53
J3,IOPAD_X1Y44,PSS2_X13Y53
H2,IOPAD_X1Y45,PSS2_X13Y53
H1,IOPAD_X1Y46,PSS2_X13Y53
J1,IOPAD_X1Y47,PSS2_X13Y53
F4,IOPAD_X1Y17,PSS2_X13Y53
D4,IOPAD_X1Y18,PSS2_X13Y53
E4,IOPAD_X1Y16,PSS2_X13Y53
G4,IOPAD_X1Y15,PSS2_X13Y53
F5,IOPAD_X1Y14,PSS2_X13Y53
J4,IOPAD_X1Y13,PSS2_X13Y53
K1,IOPAD_X1Y12,PSS2_X13Y53
K4,IOPAD_X1Y11,PSS2_X13Y53
L4,IOPAD_X1Y10,PSS2_X13Y53
L1,IOPAD_X1Y9,PSS2_X13Y53
M4,IOPAD_X1Y8,PSS2_X13Y53
K3,IOPAD_X1Y7,PSS2_X13Y53
G5,IOPAD_X1Y2,PSS2_X13Y53
H5,IOPAD_X1Y3,PSS2_X13Y53
L2,IOPAD_X1Y25,PSS2_X13Y53
M2,IOPAD_X1Y24,PSS2_X13Y53
M3,IOPAD_X1Y6,PSS2_X13Y53
K2,IOPAD_X1Y5,PSS2_X13Y53
N2,IOPAD_X1Y4,PSS2_X13Y53
J5,IOPAD_X1Y21,PSS2_X13Y53
R4,IOPAD_X1Y20,PSS2_X13Y53
L5,IOPAD_X1Y19,PSS2_X13Y53
N5,IOPAD_X1Y131,PSS2_X13Y53
N1,IOPAD_X1Y27,PSS2_X13Y53
N3,IOPAD_X1Y23,PSS2_X13Y53
M5,IOPAD_X1Y1,PSS2_X13Y53
P5,IOPAD_X1Y22,PSS2_X13Y53
P4,IOPAD_X1Y133,PSS2_X13Y53
P1,IOPAD_X1Y48,PSS2_X13Y53
P3,IOPAD_X1Y49,PSS2_X13Y53
R3,IOPAD_X1Y50,PSS2_X13Y53
R1,IOPAD_X1Y51,PSS2_X13Y53
T1,IOPAD_X1Y30,PSS2_X13Y53
R2,IOPAD_X1Y70,PSS2_X13Y53
T2,IOPAD_X1Y66,PSS2_X13Y53
T4,IOPAD_X1Y52,PSS2_X13Y53
U4,IOPAD_X1Y53,PSS2_X13Y53
U2,IOPAD_X1Y54,PSS2_X13Y53
U3,IOPAD_X1Y55,PSS2_X13Y53
V1,IOPAD_X1Y56,PSS2_X13Y53
Y3,IOPAD_X1Y57,PSS2_X13Y53
W1,IOPAD_X1Y58,PSS2_X13Y53
Y4,IOPAD_X1Y59,PSS2_X13Y53
Y1,IOPAD_X1Y31,PSS2_X13Y53
V2,IOPAD_X1Y62,PSS2_X13Y53
Y2,IOPAD_X1Y60,PSS2_X13Y53
W4,IOPAD_X1Y67,PSS2_X13Y53
V3,IOPAD_X1Y63,PSS2_X13Y53
W3,IOPAD_X1Y61,PSS2_X13Y53
W5,IOPAD_X1Y71,PSS2_X13Y53
